window,source,hard_nEvaluated,normal_nEvaluated,hard_nUniqueObjectives,normal_nUniqueObjectives,hard_nTuplesExclusive,normal_nTuplesExclusive,hard_nexclND,normal_nexclND,hard_exclusiveNDSharePct,normal_exclusiveNDSharePct,deficit_exclusiveNDSharePp,hard_WHVGSharePct,normal_WHVGSharePct,deficit_WHVGSharePp,qualify_WHVGShare,qualify_ExclusiveNDShare
1,GLOBAL_CFVF,19894,19894,19618,19795,19552,19772,116,75,75.81699346405229,92.5925925925926,16.775599128540307,21.18786329680212,42.69934682927269,21.51148353247057,True,True
1,CATA,753,526,741,526,677,503,1,0,0.6535947712418301,0.0,-0.6535947712418301,0.0011460227409183798,0.0,-0.0011460227409183798,False,False
1,INHERITED_LS,4253,4480,1979,2752,1977,2752,35,6,22.875816993464053,7.407407407407407,-15.468409586056644,1.2170698433409015,0.47994485013482874,-0.7371249932060728,False,False
1,PARENT_CARRYOVER,100,100,100,100,100,100,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
2,GLOBAL_CFVF,18262,18262,17065,17364,16987,17359,185,213,85.25345622119816,91.8103448275862,6.556888606388043,10.996398903453837,13.485228743077952,2.488829839624115,True,False
2,CATA,1025,732,1011,728,936,724,8,2,3.686635944700461,0.8620689655172413,-2.8245669791832198,0.5078153678100941,0.040356031938063225,-0.4674593358720308,False,False
2,INHERITED_LS,5713,6006,2667,3800,2663,3799,22,17,10.138248847926267,7.327586206896552,-2.8106626410297153,0.17788594239668695,0.5667000461019148,0.38881410370522784,False,False
2,PARENT_CARRYOVER,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
3,GLOBAL_CFVF,18112,18112,17523,16621,17453,16615,223,286,91.0204081632653,97.61092150170649,6.590513338441184,12.36885108814584,15.843211343005352,3.474360254859512,True,False
3,CATA,1106,722,1095,713,1027,707,4,3,1.6326530612244898,1.023890784982935,-0.6087622762415548,0.0625790879379891,0.011155555740969502,-0.05142353219701959,False,False
3,INHERITED_LS,5782,6166,2704,3376,2701,3376,18,4,7.346938775510204,1.3651877133105803,-5.981751062199624,0.15164722110450732,0.2107563597932579,0.05910913868875059,False,False
3,PARENT_CARRYOVER,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
