observedFE,source,candidateFingerprint,Cmax,TEC,TWC,parentLineageId
108,GLOBAL_CFVF,cdecfdc51dbca56a8ec4db504e1bea83c457b2466ed8006fa30d8e022df31094,975.5427413208911,135245.40511732845,419404.4314248637,-1
109,GLOBAL_CFVF,e8e7ae76d2aa85f926d52ee9e9cca586469581574e2def05452c98f8ad224d9a,976.5263006968921,132924.84447705583,437074.6789775868,-1
110,GLOBAL_CFVF,2e49df9d262c568495e9c1847f1d5589fcfbc5fc686d9e73f737ec31ed8274d0,1036.010598639229,133668.01067900503,444008.04910193314,-1
111,GLOBAL_CFVF,13465ebb3b479dc7808c32501188dac4427871470376236da02b5bbb9b798304,1016.0954512147963,135088.11251291976,459796.4495496178,-1
112,GLOBAL_CFVF,6672d3e68ec84ba511862b9e88885a5eb38eecdb1674c8c1d0607f956fb285ca,1096.1706413176369,136202.57556557568,449008.452109082,-1
113,GLOBAL_CFVF,72df92ed43af521dbbbf98d5032bf803270426e9b0aa7b1bdcdd867b62c584ed,1069.0025469500767,134340.2006628096,451734.58457169187,-1
114,GLOBAL_CFVF,419205ad529a3299016447f9650a9410ab5dac5e1d40100f63cb30956e7f5634,1086.27025542571,134179.84911087985,451699.8702082124,-1
115,GLOBAL_CFVF,bb36cd935a2a6322ae3f2062065c706d351bbe407bb3f35e855f2c89dde81356,957.5291492281932,135059.1720100756,444186.8456465462,-1
116,GLOBAL_CFVF,528d74e7af923d55faaee13d945d42f27083e613374ea72cabd8627ceb4b374e,1078.5609304054435,137033.99141113288,488243.33995793737,-1
117,GLOBAL_CFVF,d1e37bddee59439d886f55caeb10ff7aa6c29d526311d730e3dad6b5864e065d,1127.5083206010438,137282.5549391844,483546.69297954417,-1
118,GLOBAL_CFVF,224a6cbdb32d2cffb799cd566256aec9ef4d745b0bf34b48a43635d7bfee750b,890.1669661985201,134227.83727207154,415332.9455432449,-1
119,GLOBAL_CFVF,2355cdc7c5d504bae9885ef88261a8c36a510eaf87ddadcc353004975a3ac8d7,1077.3329972685706,134421.75254835616,452813.6874849469,-1
120,GLOBAL_CFVF,7b28fb291fdc15bc1c78bfece9268c16d6342c8a87b2a0295941f36b4dc6aa51,1011.3366053692149,134145.80097833462,444470.19246674946,-1
121,GLOBAL_CFVF,399d8d0155f90f3d5439e847aa8140f0d4df55a116277c959beba5fb5852e6b2,998.8576032732984,130468.34490565598,396536.25686358893,-1
122,GLOBAL_CFVF,abdb9f98331e48f6af2417403ce0515a2dfc11a66ba46e758abee32a85658e89,1068.6345922500234,131917.95920000685,423171.4501321848,-1
123,GLOBAL_CFVF,519210a019c3660766250102ba6100c7674c7b0acde86bdc9e91c95fe98d2517,1240.3811735209647,132103.1910046201,429133.894505208,-1
124,GLOBAL_CFVF,af522d6678d54b1014577a7c22e846e7efb264ae90f7a9f8c0b357c3c84172b8,1139.3294579206051,134473.64984861517,444073.05974585295,-1
125,GLOBAL_CFVF,1cdafc36d72a9ec01febabedd3b8b9499cb719d5b3e1a924df0182a71757eaff,1173.4590599492606,133931.1358977829,414708.82545515377,-1
126,GLOBAL_CFVF,b7357e19982ae6459531057add66eecac393d2ce85ad5b6fcef0174378c6f9bf,1066.5291818680396,133788.7450562298,427663.9794958964,-1
127,GLOBAL_CFVF,3de9f30cd5b178a71ffbe450363d28344f1ff104bfd4e834ecf83143b5c73910,962.7645965246587,131521.63970975627,408106.31790322415,-1
128,GLOBAL_CFVF,dd0986b7d632190c9e7fa3c42e16794f6bb21968d63162d2d7f5ce142b77eb19,996.3839486810184,130823.11362669073,420996.2611371493,-1
129,GLOBAL_CFVF,9193f154d33ec1a8050bef6ed6f144b4ebe612b2114f986c2214df98aed94d83,1400.5155637295056,129270.28893482749,416647.87237368186,-1
130,GLOBAL_CFVF,162d727714b320df727a0ca4fb21b4147752d47da458511de71c52239ead7360,1078.1712721838967,135117.27612475664,409398.42089311173,-1
131,GLOBAL_CFVF,9dd6be191ba70582cb29f1184998130da1295ad3317cd0a4c0cb51ca918ff500,1107.2810876816002,133526.5521427225,454952.216319123,-1
132,GLOBAL_CFVF,b811a4c5db40dadee3f9edc4c0b60e082c7bc29d82534c3c48b4d00a28191177,1052.5675785646304,134826.96855098667,443965.97890279966,-1
133,GLOBAL_CFVF,12096c87d880f4a1c6557b831f9f8a35d1816bbb7358eba4870d4d612a929f84,1093.9962577529939,134366.3341982031,450580.3485332815,-1
134,GLOBAL_CFVF,89bb3cfa013b950173bf24d65f9f7cf882facc483485c213afb82357e501e94d,1130.8290402628963,136275.56029895577,496982.98735992267,-1
135,GLOBAL_CFVF,3a4ed4a6a8faefc8419541bf0138d1d081fd3c0a75cf25ac8eaaaecde6a287c5,1098.4800759685022,134506.2537297061,438724.0533012626,-1
136,GLOBAL_CFVF,2a44dcf9e0b85ca29a39455b646d422662b6033e0c787a280f6d22fc1167a99f,1060.5823571029678,133650.93232105204,435191.4257900209,-1
137,GLOBAL_CFVF,5ca92672cb7ac5e05381e378e69bee62408d0e66ab8be36e4c7b58123320d706,887.913706963399,131224.01420561154,400691.8826578753,-1
138,GLOBAL_CFVF,8ebdabee2541763323628bd163824b19655f10ba3741aed7aa64ccfeb892fbee,954.9987408635276,132618.63854019344,413732.9335287228,-1
139,GLOBAL_CFVF,9c2fdd6339eb99f5ee016ec75218f3f60319e2af41c77bc4306feea1717becaa,1142.329419901196,133386.4552102326,445887.4395971156,-1
