instance,arm,seed,cycle,fe,pool,target,nLT1,nEq1,nGt1,nND,selLT1,selEq1,selGt1,rejLT1,rejEq1,rejGt1,bpLT1,bpEq1,bpGt1
20_2_3_1,QGS,20260824,1,28391,300,100,37,0,263,37,37,0,63,0,0,200,37,0,63
20_2_3_1,QGS,20260824,2,56804,300,100,62,0,238,62,62,0,38,0,0,200,62,0,38
20_2_3_1,QGS,20260824,3,85220,300,100,91,0,209,91,91,0,9,0,0,200,91,0,9
20_2_3_1,QGS,20260824,4,114009,300,100,89,0,211,89,89,0,11,0,0,200,89,0,11
20_2_3_1,QGS,20260824,5,142606,300,100,89,0,211,89,89,0,11,0,0,200,89,0,11
20_2_3_1,QGS,20260824,6,171229,300,100,70,0,230,70,70,0,30,0,0,200,70,0,30
20_2_3_1,QGS,20260824,7,200179,300,100,86,0,214,86,86,0,14,0,0,200,86,0,14
20_2_3_1,QGS,20260824,8,229342,300,100,65,0,235,65,65,0,35,0,0,200,65,0,35
20_2_3_1,QGS,20260824,9,258344,300,100,66,0,234,66,66,0,34,0,0,200,66,0,34
20_2_3_1,QGS,20260824,10,286959,300,100,85,0,215,85,85,0,15,0,0,200,85,0,15
20_2_3_1,QGS,20260824,11,315753,300,100,104,0,196,104,100,0,0,4,0,196,100,0,0
20_2_3_1,QGS,20260824,12,344517,300,100,94,0,206,94,94,0,6,0,0,200,94,0,6
20_2_3_1,QGS,20260824,13,372998,300,100,104,0,196,104,100,0,0,4,0,196,100,0,0
20_2_3_1,QGS,20260824,14,401824,300,100,98,0,202,98,98,0,2,0,0,200,98,0,2
20_2_3_1,QGS,20260824,15,430627,300,100,104,1,195,105,100,0,0,4,1,195,100,0,0
20_2_3_1,QGS,20260824,16,459767,300,100,93,1,206,94,93,1,6,0,0,200,93,1,6
20_2_3_1,QGS,20260824,17,488615,300,100,105,0,195,105,100,0,0,5,0,195,100,0,0
20_2_3_1,QGS,20260824,18,500000,225,100,100,0,125,100,100,0,0,0,0,125,100,0,0
20_2_3_1,BASE,20260822,1,6767,310,100,37,0,273,37,37,0,63,0,0,210,37,0,63
20_2_3_1,BASE,20260822,2,13435,278,100,37,1,240,38,37,1,62,0,0,178,37,1,62
20_2_3_1,BASE,20260822,3,20106,267,100,47,0,220,47,47,0,53,0,0,167,47,0,53
20_2_3_1,BASE,20260822,4,26781,247,100,80,2,165,82,80,2,18,0,0,147,80,2,18
20_2_3_1,BASE,20260822,5,33462,270,100,94,0,176,94,94,0,6,0,0,170,94,0,6
20_2_3_1,BASE,20260822,6,40149,256,100,94,0,162,94,94,0,6,0,0,156,94,0,6
20_2_3_1,BASE,20260822,7,46844,255,100,98,3,154,101,98,2,0,0,1,154,98,2,0
20_2_3_1,BASE,20260822,8,53549,269,100,113,0,156,113,100,0,0,13,0,156,100,0,0
20_2_3_1,BASE,20260822,9,60264,253,100,117,0,136,117,100,0,0,17,0,136,100,0,0
20_2_3_1,BASE,20260822,10,66991,257,100,90,1,166,91,90,1,9,0,0,157,90,1,9
20_2_3_1,BASE,20260822,11,73732,257,100,87,0,170,87,87,0,13,0,0,157,87,0,13
20_2_3_1,BASE,20260822,12,80488,277,100,99,1,177,100,99,1,0,0,0,177,99,1,0
20_2_3_1,BASE,20260822,13,87260,268,100,104,0,164,104,100,0,0,4,0,164,100,0,0
20_2_3_1,BASE,20260822,14,94049,277,100,123,0,154,123,100,0,0,23,0,154,100,0,0
20_2_3_1,BASE,20260822,15,100858,261,100,119,0,142,119,100,0,0,19,0,142,100,0,0
20_2_3_1,BASE,20260822,16,107687,266,100,113,0,153,113,100,0,0,13,0,153,100,0,0
20_2_3_1,BASE,20260822,17,114539,264,100,108,0,156,108,100,0,0,8,0,156,100,0,0
20_2_3_1,BASE,20260822,18,121415,275,100,96,0,179,96,96,0,4,0,0,175,96,0,4
20_2_3_1,BASE,20260822,19,128316,273,100,111,0,162,111,100,0,0,11,0,162,100,0,0
20_2_3_1,BASE,20260822,20,135245,270,100,110,0,160,110,100,0,0,10,0,160,100,0,0
20_2_3_1,BASE,20260822,21,142203,276,100,107,0,169,107,100,0,0,7,0,169,100,0,0
20_2_3_1,BASE,20260822,22,149192,280,100,125,2,153,127,100,0,0,25,2,153,100,0,0
20_2_3_1,BASE,20260822,23,156214,277,100,111,0,166,111,100,0,0,11,0,166,100,0,0
20_2_3_1,BASE,20260822,24,163271,271,100,104,0,167,104,100,0,0,4,0,167,100,0,0
20_2_3_1,BASE,20260822,25,170366,267,100,107,0,160,107,100,0,0,7,0,160,100,0,0
20_2_3_1,BASE,20260822,26,177500,279,100,106,0,173,106,100,0,0,6,0,173,100,0,0
20_2_3_1,BASE,20260822,27,184676,277,100,124,1,152,125,100,0,0,24,1,152,100,0,0
20_2_3_1,BASE,20260822,28,191896,280,100,112,1,167,113,100,0,0,12,1,167,100,0,0
20_2_3_1,BASE,20260822,29,199163,278,100,121,0,157,121,100,0,0,21,0,157,100,0,0
20_2_3_1,BASE,20260822,30,206480,269,100,115,0,154,115,100,0,0,15,0,154,100,0,0
20_2_3_1,BASE,20260822,31,213849,274,100,105,0,169,105,100,0,0,5,0,169,100,0,0
20_2_3_1,BASE,20260822,32,221274,274,100,120,0,154,120,100,0,0,20,0,154,100,0,0
20_2_3_1,BASE,20260822,33,228758,252,100,105,0,147,105,100,0,0,5,0,147,100,0,0
20_2_3_1,BASE,20260822,34,236304,277,100,106,0,171,106,100,0,0,6,0,171,100,0,0
20_2_3_1,BASE,20260822,35,243916,277,100,110,0,167,110,100,0,0,10,0,167,100,0,0
20_2_3_1,BASE,20260822,36,251598,289,100,106,0,183,106,100,0,0,6,0,183,100,0,0
20_2_3_1,BASE,20260822,37,259354,286,100,111,0,175,111,100,0,0,11,0,175,100,0,0
20_2_3_1,BASE,20260822,38,267188,278,100,107,0,171,107,100,0,0,7,0,171,100,0,0
20_2_3_1,BASE,20260822,39,275106,284,100,108,0,176,108,100,0,0,8,0,176,100,0,0
20_2_3_1,BASE,20260822,40,283112,274,100,112,0,162,112,100,0,0,12,0,162,100,0,0
20_2_3_1,BASE,20260822,41,291213,267,100,110,2,155,112,100,0,0,10,2,155,100,0,0
20_2_3_1,BASE,20260822,42,299414,286,100,102,1,183,103,100,0,0,2,1,183,100,0,0
20_2_3_1,BASE,20260822,43,307723,287,100,113,0,174,113,100,0,0,13,0,174,100,0,0
20_2_3_1,BASE,20260822,44,316147,281,100,107,1,173,108,100,0,0,7,1,173,100,0,0
20_2_3_1,BASE,20260822,45,324694,281,100,116,1,164,117,100,0,0,16,1,164,100,0,0
20_2_3_1,BASE,20260822,46,333373,283,100,109,0,174,109,100,0,0,9,0,174,100,0,0
20_2_3_1,BASE,20260822,47,342194,287,100,104,1,182,105,100,0,0,4,1,182,100,0,0
20_2_3_1,BASE,20260822,48,351168,296,100,110,0,186,110,100,0,0,10,0,186,100,0,0
20_2_3_1,BASE,20260822,49,360308,284,100,109,1,174,110,100,0,0,9,1,174,100,0,0
20_2_3_1,BASE,20260822,50,369628,284,100,105,0,179,105,100,0,0,5,0,179,100,0,0
20_2_3_1,BASE,20260822,51,379143,286,100,111,0,175,111,100,0,0,11,0,175,100,0,0
20_2_3_1,BASE,20260822,52,388872,291,100,109,0,182,109,100,0,0,9,0,182,100,0,0
20_2_3_1,BASE,20260822,53,398836,289,100,111,0,178,111,100,0,0,11,0,178,100,0,0
20_2_3_1,BASE,20260822,54,409059,295,100,108,0,187,108,100,0,0,8,0,187,100,0,0
20_2_3_1,BASE,20260822,55,419570,294,100,105,0,189,105,100,0,0,5,0,189,100,0,0
20_2_3_1,BASE,20260822,56,430402,288,100,105,0,183,105,100,0,0,5,0,183,100,0,0
20_2_3_1,BASE,20260822,57,441595,299,100,107,0,192,107,100,0,0,7,0,192,100,0,0
20_2_3_1,BASE,20260822,58,453199,292,100,106,0,186,106,100,0,0,6,0,186,100,0,0
20_2_3_1,BASE,20260822,59,465273,302,100,107,0,195,107,100,0,0,7,0,195,100,0,0
20_2_3_1,BASE,20260822,60,477894,297,100,106,0,191,106,100,0,0,6,0,191,100,0,0
20_2_3_1,BASE,20260822,61,491160,307,100,111,0,196,111,100,0,0,11,0,196,100,0,0
20_2_3_1,BASE,20260822,62,500000,298,100,105,0,193,105,100,0,0,5,0,193,100,0,0
20_2_3_1,BASE,20260823,1,6767,281,100,43,0,238,43,43,0,57,0,0,181,43,0,57
20_2_3_1,BASE,20260823,2,13435,277,100,47,0,230,47,47,0,53,0,0,177,47,0,53
20_2_3_1,BASE,20260823,3,20106,278,100,69,0,209,69,69,0,31,0,0,178,69,0,31
20_2_3_1,BASE,20260823,4,26781,254,100,78,0,176,78,78,0,22,0,0,154,78,0,22
20_2_3_1,BASE,20260823,5,33462,265,100,99,0,166,99,99,0,1,0,0,165,99,0,1
20_2_3_1,BASE,20260823,6,40149,265,100,103,1,161,104,100,0,0,3,1,161,100,0,0
20_2_3_1,BASE,20260823,7,46844,272,100,105,0,167,105,100,0,0,5,0,167,100,0,0
20_2_3_1,BASE,20260823,8,53549,288,100,122,0,166,122,100,0,0,22,0,166,100,0,0
20_2_3_1,BASE,20260823,9,60264,290,100,118,0,172,118,100,0,0,18,0,172,100,0,0
20_2_3_1,BASE,20260823,10,66991,268,100,118,0,150,118,100,0,0,18,0,150,100,0,0
20_2_3_1,BASE,20260823,11,73732,290,100,110,1,179,111,100,0,0,10,1,179,100,0,0
20_2_3_1,BASE,20260823,12,80488,292,100,103,2,187,105,100,0,0,3,2,187,100,0,0
20_2_3_1,BASE,20260823,13,87260,273,100,109,1,163,110,100,0,0,9,1,163,100,0,0
20_2_3_1,BASE,20260823,14,94049,264,100,105,0,159,105,100,0,0,5,0,159,100,0,0
20_2_3_1,BASE,20260823,15,100858,274,100,113,0,161,113,100,0,0,13,0,161,100,0,0
20_2_3_1,BASE,20260823,16,107687,289,100,108,0,181,108,100,0,0,8,0,181,100,0,0
20_2_3_1,BASE,20260823,17,114539,271,100,104,0,167,104,100,0,0,4,0,167,100,0,0
20_2_3_1,BASE,20260823,18,121415,293,100,104,2,187,106,100,0,0,4,2,187,100,0,0
20_2_3_1,BASE,20260823,19,128316,282,100,105,0,177,105,100,0,0,5,0,177,100,0,0
20_2_3_1,BASE,20260823,20,135245,283,100,114,0,169,114,100,0,0,14,0,169,100,0,0
20_2_3_1,BASE,20260823,21,142203,283,100,109,1,173,110,100,0,0,9,1,173,100,0,0
20_2_3_1,BASE,20260823,22,149192,271,100,95,0,176,95,95,0,5,0,0,171,95,0,5
20_2_3_1,BASE,20260823,23,156214,287,100,104,0,183,104,100,0,0,4,0,183,100,0,0
20_2_3_1,BASE,20260823,24,163271,287,100,110,0,177,110,100,0,0,10,0,177,100,0,0
20_2_3_1,BASE,20260823,25,170366,314,100,110,0,204,110,100,0,0,10,0,204,100,0,0
20_2_3_1,BASE,20260823,26,177500,307,100,113,0,194,113,100,0,0,13,0,194,100,0,0
20_2_3_1,BASE,20260823,27,184676,270,100,107,0,163,107,100,0,0,7,0,163,100,0,0
20_2_3_1,BASE,20260823,28,191896,281,100,112,0,169,112,100,0,0,12,0,169,100,0,0
20_2_3_1,BASE,20260823,29,199163,288,100,108,0,180,108,100,0,0,8,0,180,100,0,0
20_2_3_1,BASE,20260823,30,206480,284,100,108,0,176,108,100,0,0,8,0,176,100,0,0
20_2_3_1,BASE,20260823,31,213849,299,100,106,0,193,106,100,0,0,6,0,193,100,0,0
20_2_3_1,BASE,20260823,32,221274,293,100,119,2,172,121,100,0,0,19,2,172,100,0,0
20_2_3_1,BASE,20260823,33,228758,278,100,115,0,163,115,100,0,0,15,0,163,100,0,0
20_2_3_1,BASE,20260823,34,236304,292,100,106,0,186,106,100,0,0,6,0,186,100,0,0
20_2_3_1,BASE,20260823,35,243916,281,100,108,0,173,108,100,0,0,8,0,173,100,0,0
20_2_3_1,BASE,20260823,36,251598,281,100,109,0,172,109,100,0,0,9,0,172,100,0,0
20_2_3_1,BASE,20260823,37,259354,286,100,105,0,181,105,100,0,0,5,0,181,100,0,0
20_2_3_1,BASE,20260823,38,267188,284,100,115,0,169,115,100,0,0,15,0,169,100,0,0
20_2_3_1,BASE,20260823,39,275106,301,100,104,0,197,104,100,0,0,4,0,197,100,0,0
20_2_3_1,BASE,20260823,40,283112,299,100,103,0,196,103,100,0,0,3,0,196,100,0,0
20_2_3_1,BASE,20260823,41,291213,282,100,111,0,171,111,100,0,0,11,0,171,100,0,0
20_2_3_1,BASE,20260823,42,299414,275,100,110,2,163,112,100,0,0,10,2,163,100,0,0
20_2_3_1,BASE,20260823,43,307723,279,100,109,0,170,109,100,0,0,9,0,170,100,0,0
20_2_3_1,BASE,20260823,44,316147,287,100,105,0,182,105,100,0,0,5,0,182,100,0,0
20_2_3_1,BASE,20260823,45,324694,278,100,104,0,174,104,100,0,0,4,0,174,100,0,0
20_2_3_1,BASE,20260823,46,333373,298,100,105,0,193,105,100,0,0,5,0,193,100,0,0
20_2_3_1,BASE,20260823,47,342194,301,100,104,0,197,104,100,0,0,4,0,197,100,0,0
20_2_3_1,BASE,20260823,48,351168,299,100,111,0,188,111,100,0,0,11,0,188,100,0,0
20_2_3_1,BASE,20260823,49,360308,288,100,111,0,177,111,100,0,0,11,0,177,100,0,0
20_2_3_1,BASE,20260823,50,369628,291,100,98,1,192,99,98,1,1,0,0,191,98,1,1
20_2_3_1,BASE,20260823,51,379143,282,100,111,0,171,111,100,0,0,11,0,171,100,0,0
20_2_3_1,BASE,20260823,52,388872,300,100,109,0,191,109,100,0,0,9,0,191,100,0,0
20_2_3_1,BASE,20260823,53,398836,285,100,100,0,185,100,100,0,0,0,0,185,100,0,0
20_2_3_1,BASE,20260823,54,409059,310,100,105,0,205,105,100,0,0,5,0,205,100,0,0
20_2_3_1,BASE,20260823,55,419570,292,100,112,0,180,112,100,0,0,12,0,180,100,0,0
20_2_3_1,BASE,20260823,56,430402,286,100,108,0,178,108,100,0,0,8,0,178,100,0,0
20_2_3_1,BASE,20260823,57,441595,289,100,113,0,176,113,100,0,0,13,0,176,100,0,0
20_2_3_1,BASE,20260823,58,453199,292,100,111,0,181,111,100,0,0,11,0,181,100,0,0
20_2_3_1,BASE,20260823,59,465273,303,100,107,1,195,108,100,0,0,7,1,195,100,0,0
20_2_3_1,BASE,20260823,60,477894,297,100,110,0,187,110,100,0,0,10,0,187,100,0,0
20_2_3_1,BASE,20260823,61,491160,309,100,114,0,195,114,100,0,0,14,0,195,100,0,0
20_2_3_1,BASE,20260823,62,500000,285,100,107,0,178,107,100,0,0,7,0,178,100,0,0
20_2_3_1,BASE,20260824,1,6767,310,100,35,0,275,35,35,0,65,0,0,210,35,0,65
20_2_3_1,BASE,20260824,2,13435,270,100,45,0,225,45,45,0,55,0,0,170,45,0,55
20_2_3_1,BASE,20260824,3,20106,271,100,57,0,214,57,57,0,43,0,0,171,57,0,43
20_2_3_1,BASE,20260824,4,26781,269,100,77,0,192,77,77,0,23,0,0,169,77,0,23
20_2_3_1,BASE,20260824,5,33462,272,100,79,0,193,79,79,0,21,0,0,172,79,0,21
20_2_3_1,BASE,20260824,6,40149,263,100,91,0,172,91,91,0,9,0,0,163,91,0,9
20_2_3_1,BASE,20260824,7,46844,271,100,100,0,171,100,100,0,0,0,0,171,100,0,0
20_2_3_1,BASE,20260824,8,53549,257,100,113,0,144,113,100,0,0,13,0,144,100,0,0
20_2_3_1,BASE,20260824,9,60264,264,100,106,0,158,106,100,0,0,6,0,158,100,0,0
20_2_3_1,BASE,20260824,10,66991,246,100,115,0,131,115,100,0,0,15,0,131,100,0,0
20_2_3_1,BASE,20260824,11,73732,269,100,101,0,168,101,100,0,0,1,0,168,100,0,0
20_2_3_1,BASE,20260824,12,80488,285,100,106,0,179,106,100,0,0,6,0,179,100,0,0
20_2_3_1,BASE,20260824,13,87260,272,100,105,0,167,105,100,0,0,5,0,167,100,0,0
20_2_3_1,BASE,20260824,14,94049,266,100,104,0,162,104,100,0,0,4,0,162,100,0,0
20_2_3_1,BASE,20260824,15,100858,261,100,108,0,153,108,100,0,0,8,0,153,100,0,0
20_2_3_1,BASE,20260824,16,107687,256,100,111,0,145,111,100,0,0,11,0,145,100,0,0
20_2_3_1,BASE,20260824,17,114539,256,100,113,0,143,113,100,0,0,13,0,143,100,0,0
20_2_3_1,BASE,20260824,18,121415,266,100,101,0,165,101,100,0,0,1,0,165,100,0,0
20_2_3_1,BASE,20260824,19,128316,255,100,109,0,146,109,100,0,0,9,0,146,100,0,0
20_2_3_1,BASE,20260824,20,135245,257,100,106,0,151,106,100,0,0,6,0,151,100,0,0
20_2_3_1,BASE,20260824,21,142203,264,100,113,0,151,113,100,0,0,13,0,151,100,0,0
20_2_3_1,BASE,20260824,22,149192,260,100,101,0,159,101,100,0,0,1,0,159,100,0,0
20_2_3_1,BASE,20260824,23,156214,262,100,108,0,154,108,100,0,0,8,0,154,100,0,0
20_2_3_1,BASE,20260824,24,163271,258,100,114,0,144,114,100,0,0,14,0,144,100,0,0
20_2_3_1,BASE,20260824,25,170366,269,100,110,0,159,110,100,0,0,10,0,159,100,0,0
20_2_3_1,BASE,20260824,26,177500,270,100,109,1,160,110,100,0,0,9,1,160,100,0,0
20_2_3_1,BASE,20260824,27,184676,262,100,115,0,147,115,100,0,0,15,0,147,100,0,0
20_2_3_1,BASE,20260824,28,191896,266,100,106,0,160,106,100,0,0,6,0,160,100,0,0
20_2_3_1,BASE,20260824,29,199163,269,100,112,2,155,114,100,0,0,12,2,155,100,0,0
20_2_3_1,BASE,20260824,30,206480,270,100,96,0,174,96,96,0,4,0,0,170,96,0,4
20_2_3_1,BASE,20260824,31,213849,283,100,101,0,182,101,100,0,0,1,0,182,100,0,0
20_2_3_1,BASE,20260824,32,221274,262,100,105,0,157,105,100,0,0,5,0,157,100,0,0
20_2_3_1,BASE,20260824,33,228758,258,100,117,0,141,117,100,0,0,17,0,141,100,0,0
20_2_3_1,BASE,20260824,34,236304,272,100,111,1,160,112,100,0,0,11,1,160,100,0,0
20_2_3_1,BASE,20260824,35,243916,257,100,111,0,146,111,100,0,0,11,0,146,100,0,0
20_2_3_1,BASE,20260824,36,251598,272,100,112,0,160,112,100,0,0,12,0,160,100,0,0
20_2_3_1,BASE,20260824,37,259354,263,100,112,1,150,113,100,0,0,12,1,150,100,0,0
20_2_3_1,BASE,20260824,38,267188,282,100,112,0,170,112,100,0,0,12,0,170,100,0,0
20_2_3_1,BASE,20260824,39,275106,250,100,111,0,139,111,100,0,0,11,0,139,100,0,0
20_2_3_1,BASE,20260824,40,283112,268,100,111,1,156,112,100,0,0,11,1,156,100,0,0
20_2_3_1,BASE,20260824,41,291213,267,100,111,0,156,111,100,0,0,11,0,156,100,0,0
20_2_3_1,BASE,20260824,42,299414,270,100,117,0,153,117,100,0,0,17,0,153,100,0,0
20_2_3_1,BASE,20260824,43,307723,264,100,104,0,160,104,100,0,0,4,0,160,100,0,0
20_2_3_1,BASE,20260824,44,316147,272,100,109,1,162,110,100,0,0,9,1,162,100,0,0
20_2_3_1,BASE,20260824,45,324694,269,100,113,1,155,114,100,0,0,13,1,155,100,0,0
20_2_3_1,BASE,20260824,46,333373,271,100,111,0,160,111,100,0,0,11,0,160,100,0,0
20_2_3_1,BASE,20260824,47,342194,254,100,112,0,142,112,100,0,0,12,0,142,100,0,0
20_2_3_1,BASE,20260824,48,351168,274,100,112,0,162,112,100,0,0,12,0,162,100,0,0
20_2_3_1,BASE,20260824,49,360308,268,100,103,1,164,104,100,0,0,3,1,164,100,0,0
20_2_3_1,BASE,20260824,50,369628,272,100,105,0,167,105,100,0,0,5,0,167,100,0,0
20_2_3_1,BASE,20260824,51,379143,272,100,114,0,158,114,100,0,0,14,0,158,100,0,0
20_2_3_1,BASE,20260824,52,388872,273,100,110,0,163,110,100,0,0,10,0,163,100,0,0
20_2_3_1,BASE,20260824,53,398836,277,100,107,1,169,108,100,0,0,7,1,169,100,0,0
20_2_3_1,BASE,20260824,54,409059,283,100,113,0,170,113,100,0,0,13,0,170,100,0,0
20_2_3_1,BASE,20260824,55,419570,265,100,121,0,144,121,100,0,0,21,0,144,100,0,0
20_2_3_1,BASE,20260824,56,430402,271,100,115,1,155,116,100,0,0,15,1,155,100,0,0
20_2_3_1,BASE,20260824,57,441595,284,100,106,1,177,107,100,0,0,6,1,177,100,0,0
20_2_3_1,BASE,20260824,58,453199,300,100,106,1,193,107,100,0,0,6,1,193,100,0,0
20_2_3_1,BASE,20260824,59,465273,286,100,113,0,173,113,100,0,0,13,0,173,100,0,0
20_2_3_1,BASE,20260824,60,477894,281,100,116,3,162,119,100,0,0,16,3,162,100,0,0
20_2_3_1,BASE,20260824,61,491160,291,100,113,1,177,114,100,0,0,13,1,177,100,0,0
20_2_3_1,BASE,20260824,62,500000,274,100,114,0,160,114,100,0,0,14,0,160,100,0,0
