slot,lineage,JS,FA,MA,WA,Cmax,TEC,TWC,fingerprint
71,814,"6,1,4,7,9,8,2,0,3,5","0,1,1,0,1,1,1,1,0,0","0,0,1,0,1,1,0,0,0,1","0,1,0,0,0,0,1,1,1,0",57.102164763501560,1987.5105252716057,3177.5603268233867,"[6, 1, 4, 7, 9, 8, 2, 0, 3, 5]|[0, 1, 1, 0, 1, 1, 1, 1, 0, 0]|[0, 0, 1, 0, 1, 1, 0, 0, 0, 1]|[0, 1, 0, 0, 0, 0, 1, 1, 1, 0]"
72,820,"3,1,5,6,4,2,0,8,9,7","0,1,0,0,1,1,1,1,0,0","1,0,0,0,1,0,0,1,1,1","0,1,1,1,0,1,1,0,0,0",47.124179056112480,2037.9505109051902,2938.5215961978934,"[3, 1, 5, 6, 4, 2, 0, 8, 9, 7]|[0, 1, 0, 0, 1, 1, 1, 1, 0, 0]|[1, 0, 0, 0, 1, 0, 0, 1, 1, 1]|[0, 1, 1, 1, 0, 1, 1, 0, 0, 0]"
73,820,"3,5,9,6,4,2,0,8,1,7","0,0,0,1,1,0,1,1,1,0","1,0,1,0,1,0,0,1,0,1","0,1,0,1,0,1,1,0,1,0",50.277946386851050,2033.7152895838908,2925.4718601071920,"[3, 5, 9, 6, 4, 2, 0, 8, 1, 7]|[0, 0, 0, 1, 1, 0, 1, 1, 1, 0]|[1, 0, 1, 0, 1, 0, 0, 1, 0, 1]|[0, 1, 0, 1, 0, 1, 1, 0, 1, 0]"
74,828,"3,1,4,2,7,8,6,0,9,5","0,1,1,0,0,1,1,0,0,0","1,0,1,1,1,1,0,0,1,0","0,1,0,0,0,0,1,1,0,1",51.658535299528180,2074.7505251433413,2824.3528301805013,"[3, 1, 4, 2, 7, 8, 6, 0, 9, 5]|[0, 1, 1, 0, 0, 1, 1, 0, 0, 0]|[1, 0, 1, 1, 1, 1, 0, 0, 1, 0]|[0, 1, 0, 0, 0, 0, 1, 1, 0, 1]"
75,837,"3,1,9,6,4,2,0,8,5,7","0,0,0,1,1,0,1,1,1,0","1,0,1,0,1,0,0,1,0,1","0,1,0,1,0,1,1,0,1,0",49.422135007501380,2035.0935036236715,2910.8773269621424,"[3, 1, 9, 6, 4, 2, 0, 8, 5, 7]|[0, 0, 0, 1, 1, 0, 1, 1, 1, 0]|[1, 0, 1, 0, 1, 0, 0, 1, 0, 1]|[0, 1, 0, 1, 0, 1, 1, 0, 1, 0]"
76,844,"3,1,8,5,2,4,6,9,0,7","0,1,1,0,1,1,0,0,0,0","1,0,1,0,0,1,0,1,0,1","0,1,0,1,1,0,1,0,1,0",52.778091396441916,2060.2981592352908,2797.3442131936870,"[3, 1, 8, 5, 2, 4, 6, 9, 0, 7]|[0, 1, 1, 0, 1, 1, 0, 0, 0, 0]|[1, 0, 1, 0, 0, 1, 0, 1, 0, 1]|[0, 1, 0, 1, 1, 0, 1, 0, 1, 0]"
77,845,"3,1,4,0,2,8,6,9,7,5","0,1,1,1,1,1,0,0,0,0","1,0,1,0,0,1,0,1,0,1","0,1,0,1,1,0,1,0,1,0",51.102969145644710,2031.3536707114692,2916.2215992096620,"[3, 1, 4, 0, 2, 8, 6, 9, 7, 5]|[0, 1, 1, 1, 1, 1, 0, 0, 0, 0]|[1, 0, 1, 0, 0, 1, 0, 1, 0, 1]|[0, 1, 0, 1, 1, 0, 1, 0, 1, 0]"
78,847,"3,2,5,8,1,4,6,9,0,7","0,1,0,1,1,1,0,0,0,0","1,0,0,1,0,1,0,1,0,1","0,1,1,0,1,0,1,0,1,0",52.778091396441916,2058.9149586036320,2836.8072613131710,"[3, 2, 5, 8, 1, 4, 6, 9, 0, 7]|[0, 1, 0, 1, 1, 1, 0, 0, 0, 0]|[1, 0, 0, 1, 0, 1, 0, 1, 0, 1]|[0, 1, 1, 0, 1, 0, 1, 0, 1, 0]"
79,848,"3,1,5,6,4,0,9,8,2,7","0,1,0,0,1,1,1,1,0,0","1,0,0,0,1,0,0,1,1,1","0,1,1,1,0,1,1,0,0,0",48.177996336194360,2046.8887867567614,2872.9142618579162,"[3, 1, 5, 6, 4, 0, 9, 8, 2, 7]|[0, 1, 0, 0, 1, 1, 1, 1, 0, 0]|[1, 0, 0, 0, 1, 0, 0, 1, 1, 1]|[0, 1, 1, 1, 0, 1, 1, 0, 0, 0]"
80,849,"3,1,6,5,4,0,9,8,2,7","0,1,0,0,1,1,1,1,0,0","1,0,0,0,1,0,0,1,1,1","0,1,1,1,0,1,1,0,0,0",49.859383461944500,2043.7021613362780,2871.4886358999656,"[3, 1, 6, 5, 4, 0, 9, 8, 2, 7]|[0, 1, 0, 0, 1, 1, 1, 1, 0, 0]|[1, 0, 0, 0, 1, 0, 0, 1, 1, 1]|[0, 1, 1, 1, 0, 1, 1, 0, 0, 0]"
