campaign,comparison,instance,seed,arm,actualFE,utilizationRate,HV,IGD,Cmax,TEC,TWC,frontSize,sourceFile
V35-STAGE2-PILOT-A0-A4-20260823,Stage2_background,100_2_3_1,20260813,A3,500000,1.0,0.35153747465439905,0.417385975444039,701.6394267110999,46196.06557539211,98986.8654518188,130,docs/evidence/V35-STAGE2-PILOT-A0-A4-20260823/results/metrics.csv
V35-STAGE2-PILOT-A0-A4-20260823,Stage2_background,100_2_3_1,20260813,A4,500000,1.0,0.6197114418174744,0.19356237615424451,738.7283878795075,48318.627316017875,87592.76287204755,448,docs/evidence/V35-STAGE2-PILOT-A0-A4-20260823/results/metrics.csv
V35-STAGE2-PILOT-A0-A4-20260823,Stage2_background,100_2_3_1,20260814,A0,500000,1.0,0.524825735703905,0.3131288695151364,779.6502756558244,48772.39001759233,88000.64556852271,271,docs/evidence/V35-STAGE2-PILOT-A0-A4-20260823/results/metrics.csv
V35-STAGE2-PILOT-A0-A4-20260823,Stage2_background,100_2_3_1,20260814,A1,500000,1.0,0.44450800367177923,0.27356439295380447,774.5170395106973,50580.97914789627,89081.92111113787,380,docs/evidence/V35-STAGE2-PILOT-A0-A4-20260823/results/metrics.csv
V35-STAGE2-PILOT-A0-A4-20260823,Stage2_background,100_2_3_1,20260814,A2,500000,1.0,0.654639174693245,0.17597818546303193,731.0036036201972,46632.43923954155,89799.03618329082,294,docs/evidence/V35-STAGE2-PILOT-A0-A4-20260823/results/metrics.csv
V35-STAGE2-PILOT-A0-A4-20260823,Stage2_background,100_2_3_1,20260814,A3,500000,1.0,0.3423958259715567,0.39114244914657614,704.8234251199555,47803.43075953429,95083.67178012246,203,docs/evidence/V35-STAGE2-PILOT-A0-A4-20260823/results/metrics.csv
V35-STAGE2-PILOT-A0-A4-20260823,Stage2_background,100_2_3_1,20260814,A4,500000,1.0,0.522851242878611,0.2712019024836912,701.0136907455724,46275.16553810729,91247.96703149326,258,docs/evidence/V35-STAGE2-PILOT-A0-A4-20260823/results/metrics.csv
V35-STAGE2-PILOT-A0-A4-20260823,Stage2_background,100_2_3_1,20260815,A0,500000,1.0,0.6511297484237906,0.16176342650047548,723.9660172482957,49851.58377806257,86680.02281184314,210,docs/evidence/V35-STAGE2-PILOT-A0-A4-20260823/results/metrics.csv
V35-STAGE2-PILOT-A0-A4-20260823,Stage2_background,100_2_3_1,20260815,A1,500000,1.0,0.46038146679105285,0.2699000661842867,696.9683049513962,46262.52303459848,86677.45403524506,232,docs/evidence/V35-STAGE2-PILOT-A0-A4-20260823/results/metrics.csv
V35-STAGE2-PILOT-A0-A4-20260823,Stage2_background,100_2_3_1,20260815,A2,500000,1.0,0.6079795659501424,0.32579588478064275,799.5774336400898,45661.772217085156,95268.50606783162,307,docs/evidence/V35-STAGE2-PILOT-A0-A4-20260823/results/metrics.csv
V35-STAGE2-PILOT-A0-A4-20260823,Stage2_background,100_2_3_1,20260815,A3,499452,0.998904,0.630003551392917,0.2669775929305228,741.5741034877011,45749.5481436736,89272.62428676091,200,docs/evidence/V35-STAGE2-PILOT-A0-A4-20260823/results/metrics.csv
V35-STAGE2-PILOT-A0-A4-20260823,Stage2_background,100_2_3_1,20260815,A4,500000,1.0,0.6787531960628824,0.1717634838565341,696.9581662350326,47022.97205449967,89016.39803116798,387,docs/evidence/V35-STAGE2-PILOT-A0-A4-20260823/results/metrics.csv
V35-STAGE2-PILOT-A0-A4-20260823,Stage2_background,100_2_3_1,20260816,A0,500000,1.0,0.4098755355741276,0.2894942505377283,747.288244420083,50705.66518649353,88756.0417062247,193,docs/evidence/V35-STAGE2-PILOT-A0-A4-20260823/results/metrics.csv
V35-STAGE2-PILOT-A0-A4-20260823,Stage2_background,100_2_3_1,20260816,A1,500000,1.0,0.5904382253800384,0.2176564371620737,782.272187346545,49503.12524824013,85390.70588991839,369,docs/evidence/V35-STAGE2-PILOT-A0-A4-20260823/results/metrics.csv
V35-STAGE2-PILOT-A0-A4-20260823,Stage2_background,100_2_3_1,20260816,A2,500000,1.0,0.5155088497440202,0.29828513929339856,731.5531764479052,46064.13929166342,90741.02790406717,99,docs/evidence/V35-STAGE2-PILOT-A0-A4-20260823/results/metrics.csv
V35-STAGE2-PILOT-A0-A4-20260823,Stage2_background,100_2_3_1,20260816,A3,500000,1.0,0.46404655625306424,0.3192334121748568,721.9000920441757,46290.83783467944,89223.05600104385,267,docs/evidence/V35-STAGE2-PILOT-A0-A4-20260823/results/metrics.csv
V35-STAGE2-PILOT-A0-A4-20260823,Stage2_background,100_2_3_1,20260816,A4,500000,1.0,0.5541374117421418,0.2517540671765354,716.1435087021271,45677.22028886101,93565.92143964698,729,docs/evidence/V35-STAGE2-PILOT-A0-A4-20260823/results/metrics.csv
V35-STAGE2-PILOT-A0-A4-20260823,Stage2_background,100_2_3_1,20260817,A0,500000,1.0,0.5448808948545878,0.2028616488777701,729.2782577637814,51085.20306537404,87328.7922120305,178,docs/evidence/V35-STAGE2-PILOT-A0-A4-20260823/results/metrics.csv
V35-STAGE2-PILOT-A0-A4-20260823,Stage2_background,100_2_3_1,20260817,A1,500000,1.0,0.41471751082564584,0.29036670217844995,716.6560160109461,52704.05997821315,88607.41613587429,225,docs/evidence/V35-STAGE2-PILOT-A0-A4-20260823/results/metrics.csv
V35-STAGE2-PILOT-A0-A4-20260823,Stage2_background,100_2_3_1,20260817,A2,499607,0.999214,0.6079672202977793,0.19394335184441927,724.0911441359204,46500.76158207888,89123.74083170426,212,docs/evidence/V35-STAGE2-PILOT-A0-A4-20260823/results/metrics.csv
V35-STAGE2-PILOT-A0-A4-20260823,Stage2_background,100_2_3_1,20260817,A3,500000,1.0,0.6190662283613175,0.19399688023688944,730.7354336468177,46737.80842896848,87878.04315421672,240,docs/evidence/V35-STAGE2-PILOT-A0-A4-20260823/results/metrics.csv
V35-STAGE2-PILOT-A0-A4-20260823,Stage2_background,100_2_3_1,20260817,A4,500000,1.0,0.7814201761550106,0.11437160130155542,710.1829869811727,46103.44447591256,88115.93007967927,443,docs/evidence/V35-STAGE2-PILOT-A0-A4-20260823/results/metrics.csv
