instance,arm,seed,cycle,fe,pool,ndTotal,g1Lt1,g1Eq1,g1Total,g2Lt1,g2Eq1,g2Total,g3Lt1,g3Eq1,g3Total,g4Lt1,g4Eq1,g4Total,ovfLt1,ovfEq1,ovfTotal,rejG1,rejG2,rejG3,rejG4,rejOvf,rejTotal,absorbable,absorbRate,ovfRate
100_2_3_1,BASE,20260823,9,60264,238,60,15,0,15,45,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,BASE,20260823,10,66991,248,72,15,0,15,55,0,55,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,BASE,20260823,11,73732,234,75,15,0,15,55,0,55,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,BASE,20260823,12,80488,238,73,15,0,15,55,0,55,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,BASE,20260823,13,87260,243,92,15,0,15,55,0,55,15,0,15,7,0,7,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,BASE,20260823,14,94049,253,92,15,0,15,55,0,55,15,0,15,7,0,7,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,BASE,20260823,15,100858,240,98,15,0,15,55,0,55,15,0,15,13,0,13,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,BASE,20260823,16,107687,236,94,11,4,15,55,0,55,15,0,15,9,0,9,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,BASE,20260823,17,114539,239,84,14,1,15,55,0,55,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,BASE,20260823,18,121415,234,91,14,1,15,55,0,55,15,0,15,6,0,6,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,BASE,20260823,19,128316,235,98,10,5,15,55,0,55,15,0,15,13,0,13,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,BASE,20260823,20,135245,231,109,13,2,15,55,0,55,15,0,15,14,1,15,9,0,9,6,0,2,1,0,9,9,1.0,0.08256880733944955
100_2_3_1,BASE,20260823,21,142203,246,91,15,0,15,55,0,55,15,0,15,6,0,6,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,BASE,20260823,22,149192,237,112,15,0,15,55,0,55,15,0,15,15,0,15,12,0,12,1,0,10,0,1,12,11,0.9166666666666666,0.10714285714285714
100_2_3_1,BASE,20260823,23,156214,238,100,15,0,15,55,0,55,15,0,15,15,0,15,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,BASE,20260823,24,163271,247,87,15,0,15,55,0,55,15,0,15,2,0,2,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,BASE,20260823,25,170366,238,104,13,2,15,55,0,55,15,0,15,15,0,15,4,0,4,2,0,0,0,2,4,2,0.5,0.038461538461538464
100_2_3_1,BASE,20260823,26,177500,261,113,15,0,15,55,0,55,15,0,15,15,0,15,13,0,13,0,0,6,0,7,13,6,0.46153846153846156,0.11504424778761062
100_2_3_1,BASE,20260823,27,184676,248,107,15,0,15,55,0,55,15,0,15,15,0,15,7,0,7,3,0,4,0,0,7,7,1.0,0.06542056074766354
100_2_3_1,BASE,20260823,28,191896,233,87,14,1,15,55,0,55,15,0,15,2,0,2,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,BASE,20260823,29,199163,262,79,15,0,15,55,0,55,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,BASE,20260823,30,206480,257,91,15,0,15,55,0,55,15,0,15,6,0,6,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,BASE,20260823,31,213849,245,102,14,1,15,55,0,55,13,2,15,15,0,15,1,1,2,0,0,1,0,1,2,1,0.5,0.0196078431372549
100_2_3_1,BASE,20260823,32,221274,253,98,15,0,15,55,0,55,15,0,15,13,0,13,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,BASE,20260823,33,228758,254,104,15,0,15,55,0,55,15,0,15,15,0,15,4,0,4,2,0,1,0,1,4,3,0.75,0.038461538461538464
100_2_3_1,BASE,20260823,34,236304,241,104,15,0,15,55,0,55,15,0,15,15,0,15,4,0,4,4,0,0,0,0,4,4,1.0,0.038461538461538464
100_2_3_1,BASE,20260823,35,243916,250,115,15,0,15,55,0,55,15,0,15,15,0,15,15,0,15,6,0,5,4,0,15,15,1.0,0.13043478260869565
100_2_3_1,BASE,20260823,36,251598,255,110,14,1,15,55,0,55,15,0,15,15,0,15,10,0,10,1,0,2,0,7,10,3,0.3,0.09090909090909091
100_2_3_1,BASE,20260823,37,259354,245,103,15,0,15,55,0,55,15,0,15,15,0,15,3,0,3,1,0,1,0,1,3,2,0.6666666666666666,0.02912621359223301
100_2_3_1,BASE,20260823,38,267188,256,111,15,0,15,55,0,55,15,0,15,15,0,15,11,0,11,5,0,1,2,3,11,8,0.7272727272727273,0.0990990990990991
100_2_3_1,BASE,20260823,39,275106,261,105,15,0,15,55,0,55,15,0,15,15,0,15,5,0,5,2,0,0,2,1,5,4,0.8,0.047619047619047616
100_2_3_1,BASE,20260823,40,283112,249,103,15,0,15,55,0,55,14,1,15,15,0,15,3,0,3,1,0,2,0,0,3,3,1.0,0.02912621359223301
100_2_3_1,BASE,20260823,41,291213,261,116,13,2,15,55,0,55,15,0,15,15,0,15,15,1,16,10,0,0,0,6,16,10,0.625,0.13793103448275862
100_2_3_1,BASE,20260823,42,299414,250,110,15,0,15,55,0,55,15,0,15,15,0,15,10,0,10,3,0,4,0,3,10,7,0.7,0.09090909090909091
100_2_3_1,BASE,20260823,43,307723,261,102,15,0,15,55,0,55,15,0,15,15,0,15,2,0,2,0,0,2,0,0,2,2,1.0,0.0196078431372549
100_2_3_1,BASE,20260823,44,316147,254,108,15,0,15,55,0,55,15,0,15,15,0,15,8,0,8,4,0,3,0,1,8,7,0.875,0.07407407407407407
100_2_3_1,BASE,20260823,45,324694,255,106,15,0,15,55,0,55,15,0,15,15,0,15,6,0,6,3,0,0,2,1,6,5,0.8333333333333334,0.05660377358490566
100_2_3_1,BASE,20260823,46,333373,257,108,15,0,15,55,0,55,15,0,15,15,0,15,8,0,8,1,0,1,0,6,8,2,0.25,0.07407407407407407
100_2_3_1,BASE,20260823,47,342194,254,97,14,1,15,55,0,55,15,0,15,12,0,12,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,BASE,20260823,48,351168,268,106,15,0,15,55,0,55,15,0,15,15,0,15,6,0,6,2,0,0,1,3,6,3,0.5,0.05660377358490566
100_2_3_1,BASE,20260823,49,360308,259,106,14,1,15,55,0,55,15,0,15,15,0,15,6,0,6,1,0,0,1,4,6,2,0.3333333333333333,0.05660377358490566
100_2_3_1,BASE,20260823,50,369628,261,109,14,1,15,55,0,55,15,0,15,15,0,15,9,0,9,3,0,0,0,6,9,3,0.3333333333333333,0.08256880733944955
100_2_3_1,BASE,20260823,51,379143,254,97,15,0,15,55,0,55,15,0,15,12,0,12,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,BASE,20260823,52,388872,277,113,15,0,15,55,0,55,15,0,15,15,0,15,12,1,13,2,0,2,1,8,13,5,0.38461538461538464,0.11504424778761062
100_2_3_1,BASE,20260823,53,398836,272,110,14,1,15,55,0,55,15,0,15,15,0,15,10,0,10,4,0,2,1,3,10,7,0.7,0.09090909090909091
100_2_3_1,BASE,20260823,54,409059,264,108,15,0,15,55,0,55,15,0,15,15,0,15,8,0,8,1,0,5,0,2,8,6,0.75,0.07407407407407407
100_2_3_1,BASE,20260823,55,419570,268,107,14,1,15,55,0,55,15,0,15,15,0,15,7,0,7,2,0,1,3,1,7,6,0.8571428571428571,0.06542056074766354
100_2_3_1,BASE,20260823,56,430402,260,111,14,1,15,55,0,55,15,0,15,15,0,15,11,0,11,3,0,6,2,0,11,11,1.0,0.0990990990990991
100_2_3_1,BASE,20260823,57,441595,273,95,15,0,15,55,0,55,15,0,15,10,0,10,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,BASE,20260823,58,453199,261,112,15,0,15,55,0,55,15,0,15,15,0,15,12,0,12,1,0,9,0,2,12,10,0.8333333333333334,0.10714285714285714
