actualFE,nominalFE,outerCycle,qRound,eventType,subjectFingerprint,relatedFingerprint,source,action,detail
3800,25000,0,36,QP_ACTION,3120678e5f5522060e812f7f08b8bea21f62d90612ad1c4c8a3a1ce9227f825f,66c4b441adb956d7fabc924dbc0a9ef4253de709ebae35994566910d153fd1f8,NOT_APPLICABLE,0,selection
3800,25000,0,36,QP_TEACHER,66c4b441adb956d7fabc924dbc0a9ef4253de709ebae35994566910d153fd1f8,3120678e5f5522060e812f7f08b8bea21f62d90612ad1c4c8a3a1ce9227f825f,NOT_APPLICABLE,0,selectedPbest
3800,25000,0,36,PERSONAL_ARCHIVE,3120678e5f5522060e812f7f08b8bea21f62d90612ad1c4c8a3a1ce9227f825f,-1,NOT_APPLICABLE,0,insertedEntrySurvived
3800,25000,0,36,QP_ACTION,3120678e5f5522060e812f7f08b8bea21f62d90612ad1c4c8a3a1ce9227f825f,66c4b441adb956d7fabc924dbc0a9ef4253de709ebae35994566910d153fd1f8,NOT_APPLICABLE,0,selection
3800,25000,0,36,QP_TEACHER,66c4b441adb956d7fabc924dbc0a9ef4253de709ebae35994566910d153fd1f8,3120678e5f5522060e812f7f08b8bea21f62d90612ad1c4c8a3a1ce9227f825f,NOT_APPLICABLE,0,selectedPbest
3800,25000,0,36,PERSONAL_ARCHIVE,3120678e5f5522060e812f7f08b8bea21f62d90612ad1c4c8a3a1ce9227f825f,-1,NOT_APPLICABLE,0,insertedEntrySurvived
3800,25000,0,36,QP_ACTION,b48e6d4d5dadc180877190b9e0e08569506e079bc10587173440834dc0c48146,b48e6d4d5dadc180877190b9e0e08569506e079bc10587173440834dc0c48146,NOT_APPLICABLE,0,selection
3800,25000,0,36,QP_TEACHER,b48e6d4d5dadc180877190b9e0e08569506e079bc10587173440834dc0c48146,b48e6d4d5dadc180877190b9e0e08569506e079bc10587173440834dc0c48146,NOT_APPLICABLE,0,selectedPbest
3800,25000,0,36,PERSONAL_ARCHIVE,b48e6d4d5dadc180877190b9e0e08569506e079bc10587173440834dc0c48146,-1,NOT_APPLICABLE,0,insertedEntrySurvived
3800,25000,0,36,QP_ACTION,b48e6d4d5dadc180877190b9e0e08569506e079bc10587173440834dc0c48146,b48e6d4d5dadc180877190b9e0e08569506e079bc10587173440834dc0c48146,NOT_APPLICABLE,0,selection
3800,25000,0,36,QP_TEACHER,b48e6d4d5dadc180877190b9e0e08569506e079bc10587173440834dc0c48146,b48e6d4d5dadc180877190b9e0e08569506e079bc10587173440834dc0c48146,NOT_APPLICABLE,0,selectedPbest
3800,25000,0,36,PERSONAL_ARCHIVE,b48e6d4d5dadc180877190b9e0e08569506e079bc10587173440834dc0c48146,-1,NOT_APPLICABLE,0,insertedEntrySurvived
3800,25000,0,36,QP_ACTION,53be19c62d46d7c1a6e1205b8da467bbab910acb6ef0e6335a4b0bd2e0fec6d7,66c4b441adb956d7fabc924dbc0a9ef4253de709ebae35994566910d153fd1f8,NOT_APPLICABLE,0,selection
3800,25000,0,36,QP_TEACHER,66c4b441adb956d7fabc924dbc0a9ef4253de709ebae35994566910d153fd1f8,53be19c62d46d7c1a6e1205b8da467bbab910acb6ef0e6335a4b0bd2e0fec6d7,NOT_APPLICABLE,0,selectedPbest
3800,25000,0,36,QP_ACTION,53be19c62d46d7c1a6e1205b8da467bbab910acb6ef0e6335a4b0bd2e0fec6d7,66c4b441adb956d7fabc924dbc0a9ef4253de709ebae35994566910d153fd1f8,NOT_APPLICABLE,0,selection
3800,25000,0,36,QP_TEACHER,66c4b441adb956d7fabc924dbc0a9ef4253de709ebae35994566910d153fd1f8,53be19c62d46d7c1a6e1205b8da467bbab910acb6ef0e6335a4b0bd2e0fec6d7,NOT_APPLICABLE,0,selectedPbest
3800,25000,0,36,QP_ACTION,dc62618e46c53bc28bbd57db9ed137600ccc6e91db3c66f651f986acd65056a0,dc62618e46c53bc28bbd57db9ed137600ccc6e91db3c66f651f986acd65056a0,NOT_APPLICABLE,0,selection
3800,25000,0,36,QP_TEACHER,dc62618e46c53bc28bbd57db9ed137600ccc6e91db3c66f651f986acd65056a0,dc62618e46c53bc28bbd57db9ed137600ccc6e91db3c66f651f986acd65056a0,NOT_APPLICABLE,0,selectedPbest
3800,25000,0,36,PERSONAL_ARCHIVE,dc62618e46c53bc28bbd57db9ed137600ccc6e91db3c66f651f986acd65056a0,-1,NOT_APPLICABLE,0,insertedEntrySurvived
3800,25000,0,36,QP_ACTION,dc62618e46c53bc28bbd57db9ed137600ccc6e91db3c66f651f986acd65056a0,dc62618e46c53bc28bbd57db9ed137600ccc6e91db3c66f651f986acd65056a0,NOT_APPLICABLE,0,selection
3800,25000,0,36,QP_TEACHER,dc62618e46c53bc28bbd57db9ed137600ccc6e91db3c66f651f986acd65056a0,dc62618e46c53bc28bbd57db9ed137600ccc6e91db3c66f651f986acd65056a0,NOT_APPLICABLE,0,selectedPbest
3800,25000,0,36,PERSONAL_ARCHIVE,dc62618e46c53bc28bbd57db9ed137600ccc6e91db3c66f651f986acd65056a0,-1,NOT_APPLICABLE,0,insertedEntrySurvived
3800,25000,0,36,QP_ACTION,035413e15ce53fa0599fa3f44ac09430f17ddb43bed9ecc40729f64a1235ddb3,035413e15ce53fa0599fa3f44ac09430f17ddb43bed9ecc40729f64a1235ddb3,NOT_APPLICABLE,0,selection
3800,25000,0,36,QP_TEACHER,035413e15ce53fa0599fa3f44ac09430f17ddb43bed9ecc40729f64a1235ddb3,035413e15ce53fa0599fa3f44ac09430f17ddb43bed9ecc40729f64a1235ddb3,NOT_APPLICABLE,0,selectedPbest
3800,25000,0,36,PERSONAL_ARCHIVE,035413e15ce53fa0599fa3f44ac09430f17ddb43bed9ecc40729f64a1235ddb3,-1,NOT_APPLICABLE,0,insertedEntrySurvived
3800,25000,0,36,QP_ACTION,035413e15ce53fa0599fa3f44ac09430f17ddb43bed9ecc40729f64a1235ddb3,035413e15ce53fa0599fa3f44ac09430f17ddb43bed9ecc40729f64a1235ddb3,NOT_APPLICABLE,0,selection
3800,25000,0,36,QP_TEACHER,035413e15ce53fa0599fa3f44ac09430f17ddb43bed9ecc40729f64a1235ddb3,035413e15ce53fa0599fa3f44ac09430f17ddb43bed9ecc40729f64a1235ddb3,NOT_APPLICABLE,0,selectedPbest
3800,25000,0,36,PERSONAL_ARCHIVE,035413e15ce53fa0599fa3f44ac09430f17ddb43bed9ecc40729f64a1235ddb3,-1,NOT_APPLICABLE,0,insertedEntrySurvived
3800,25000,0,36,QP_ACTION,72092342942c8383f4617542105b8649cadcdb78431cd07ba89a93468b7ef56a,72092342942c8383f4617542105b8649cadcdb78431cd07ba89a93468b7ef56a,NOT_APPLICABLE,0,selection
3800,25000,0,36,QP_TEACHER,72092342942c8383f4617542105b8649cadcdb78431cd07ba89a93468b7ef56a,72092342942c8383f4617542105b8649cadcdb78431cd07ba89a93468b7ef56a,NOT_APPLICABLE,0,selectedPbest
3800,25000,0,36,PERSONAL_ARCHIVE,72092342942c8383f4617542105b8649cadcdb78431cd07ba89a93468b7ef56a,-1,NOT_APPLICABLE,0,insertedEntrySurvived
3800,25000,0,36,QP_ACTION,72092342942c8383f4617542105b8649cadcdb78431cd07ba89a93468b7ef56a,72092342942c8383f4617542105b8649cadcdb78431cd07ba89a93468b7ef56a,NOT_APPLICABLE,0,selection
3800,25000,0,36,QP_TEACHER,72092342942c8383f4617542105b8649cadcdb78431cd07ba89a93468b7ef56a,72092342942c8383f4617542105b8649cadcdb78431cd07ba89a93468b7ef56a,NOT_APPLICABLE,0,selectedPbest
3800,25000,0,36,PERSONAL_ARCHIVE,72092342942c8383f4617542105b8649cadcdb78431cd07ba89a93468b7ef56a,-1,NOT_APPLICABLE,0,insertedEntrySurvived
3800,25000,0,36,QP_ACTION,b98b308edf732bb99db2e325f42916d39599bb46f4a532e856382a97090e1d47,b98b308edf732bb99db2e325f42916d39599bb46f4a532e856382a97090e1d47,NOT_APPLICABLE,0,selection
3800,25000,0,36,QP_TEACHER,b98b308edf732bb99db2e325f42916d39599bb46f4a532e856382a97090e1d47,b98b308edf732bb99db2e325f42916d39599bb46f4a532e856382a97090e1d47,NOT_APPLICABLE,0,selectedPbest
3800,25000,0,36,PERSONAL_ARCHIVE,b98b308edf732bb99db2e325f42916d39599bb46f4a532e856382a97090e1d47,-1,NOT_APPLICABLE,0,insertedEntrySurvived
3800,25000,0,36,QP_ACTION,b98b308edf732bb99db2e325f42916d39599bb46f4a532e856382a97090e1d47,b98b308edf732bb99db2e325f42916d39599bb46f4a532e856382a97090e1d47,NOT_APPLICABLE,0,selection
3800,25000,0,36,QP_TEACHER,b98b308edf732bb99db2e325f42916d39599bb46f4a532e856382a97090e1d47,b98b308edf732bb99db2e325f42916d39599bb46f4a532e856382a97090e1d47,NOT_APPLICABLE,0,selectedPbest
3800,25000,0,36,PERSONAL_ARCHIVE,b98b308edf732bb99db2e325f42916d39599bb46f4a532e856382a97090e1d47,-1,NOT_APPLICABLE,0,insertedEntrySurvived
3800,25000,0,36,QP_ACTION,7ffa48a02318b78316c2ab7bc90bef6bdc8fb5d96844e3ff030ef559a46412e6,66c4b441adb956d7fabc924dbc0a9ef4253de709ebae35994566910d153fd1f8,NOT_APPLICABLE,0,selection
3800,25000,0,36,QP_TEACHER,66c4b441adb956d7fabc924dbc0a9ef4253de709ebae35994566910d153fd1f8,7ffa48a02318b78316c2ab7bc90bef6bdc8fb5d96844e3ff030ef559a46412e6,NOT_APPLICABLE,0,selectedPbest
3800,25000,0,36,PERSONAL_ARCHIVE,7ffa48a02318b78316c2ab7bc90bef6bdc8fb5d96844e3ff030ef559a46412e6,-1,NOT_APPLICABLE,0,insertedEntrySurvived
3800,25000,0,36,QP_ACTION,7ffa48a02318b78316c2ab7bc90bef6bdc8fb5d96844e3ff030ef559a46412e6,66c4b441adb956d7fabc924dbc0a9ef4253de709ebae35994566910d153fd1f8,NOT_APPLICABLE,0,selection
3800,25000,0,36,QP_TEACHER,66c4b441adb956d7fabc924dbc0a9ef4253de709ebae35994566910d153fd1f8,7ffa48a02318b78316c2ab7bc90bef6bdc8fb5d96844e3ff030ef559a46412e6,NOT_APPLICABLE,0,selectedPbest
3800,25000,0,36,PERSONAL_ARCHIVE,7ffa48a02318b78316c2ab7bc90bef6bdc8fb5d96844e3ff030ef559a46412e6,-1,NOT_APPLICABLE,0,insertedEntrySurvived
3800,25000,0,36,QP_ACTION,248ab506ae03d06f8dc000a9e85cc87962f8b0522eb2913e243a2b2b509cf153,248ab506ae03d06f8dc000a9e85cc87962f8b0522eb2913e243a2b2b509cf153,NOT_APPLICABLE,0,selection
3800,25000,0,36,QP_TEACHER,248ab506ae03d06f8dc000a9e85cc87962f8b0522eb2913e243a2b2b509cf153,248ab506ae03d06f8dc000a9e85cc87962f8b0522eb2913e243a2b2b509cf153,NOT_APPLICABLE,0,selectedPbest
3800,25000,0,36,PERSONAL_ARCHIVE,248ab506ae03d06f8dc000a9e85cc87962f8b0522eb2913e243a2b2b509cf153,-1,NOT_APPLICABLE,0,insertedEntrySurvived
3800,25000,0,36,QP_ACTION,248ab506ae03d06f8dc000a9e85cc87962f8b0522eb2913e243a2b2b509cf153,248ab506ae03d06f8dc000a9e85cc87962f8b0522eb2913e243a2b2b509cf153,NOT_APPLICABLE,0,selection
3800,25000,0,36,QP_TEACHER,248ab506ae03d06f8dc000a9e85cc87962f8b0522eb2913e243a2b2b509cf153,248ab506ae03d06f8dc000a9e85cc87962f8b0522eb2913e243a2b2b509cf153,NOT_APPLICABLE,0,selectedPbest
3800,25000,0,36,PERSONAL_ARCHIVE,248ab506ae03d06f8dc000a9e85cc87962f8b0522eb2913e243a2b2b509cf153,-1,NOT_APPLICABLE,0,insertedEntrySurvived
3800,25000,0,36,QP_ACTION,6f066502d614f2d8dc761543b35f8e604baa894914fbc796d6f18e8f4b97ae1a,66c4b441adb956d7fabc924dbc0a9ef4253de709ebae35994566910d153fd1f8,NOT_APPLICABLE,0,selection
3800,25000,0,36,QP_TEACHER,66c4b441adb956d7fabc924dbc0a9ef4253de709ebae35994566910d153fd1f8,6f066502d614f2d8dc761543b35f8e604baa894914fbc796d6f18e8f4b97ae1a,NOT_APPLICABLE,0,selectedPbest
3800,25000,0,36,PERSONAL_ARCHIVE,6f066502d614f2d8dc761543b35f8e604baa894914fbc796d6f18e8f4b97ae1a,-1,NOT_APPLICABLE,0,insertedEntrySurvived
3800,25000,0,36,QP_ACTION,6f066502d614f2d8dc761543b35f8e604baa894914fbc796d6f18e8f4b97ae1a,66c4b441adb956d7fabc924dbc0a9ef4253de709ebae35994566910d153fd1f8,NOT_APPLICABLE,0,selection
3800,25000,0,36,QP_TEACHER,66c4b441adb956d7fabc924dbc0a9ef4253de709ebae35994566910d153fd1f8,6f066502d614f2d8dc761543b35f8e604baa894914fbc796d6f18e8f4b97ae1a,NOT_APPLICABLE,0,selectedPbest
3800,25000,0,36,PERSONAL_ARCHIVE,6f066502d614f2d8dc761543b35f8e604baa894914fbc796d6f18e8f4b97ae1a,-1,NOT_APPLICABLE,0,insertedEntrySurvived
3800,25000,0,36,QP_ACTION,96c941b6ba7f73ce258fc6ca48a3d8d3413491468f582853dd5d5e270b18d43d,96c941b6ba7f73ce258fc6ca48a3d8d3413491468f582853dd5d5e270b18d43d,NOT_APPLICABLE,0,selection
3800,25000,0,36,QP_TEACHER,96c941b6ba7f73ce258fc6ca48a3d8d3413491468f582853dd5d5e270b18d43d,96c941b6ba7f73ce258fc6ca48a3d8d3413491468f582853dd5d5e270b18d43d,NOT_APPLICABLE,0,selectedPbest
3800,25000,0,36,PERSONAL_ARCHIVE,96c941b6ba7f73ce258fc6ca48a3d8d3413491468f582853dd5d5e270b18d43d,-1,NOT_APPLICABLE,0,insertedEntrySurvived
3800,25000,0,36,QP_ACTION,96c941b6ba7f73ce258fc6ca48a3d8d3413491468f582853dd5d5e270b18d43d,96c941b6ba7f73ce258fc6ca48a3d8d3413491468f582853dd5d5e270b18d43d,NOT_APPLICABLE,0,selection
3800,25000,0,36,QP_TEACHER,96c941b6ba7f73ce258fc6ca48a3d8d3413491468f582853dd5d5e270b18d43d,96c941b6ba7f73ce258fc6ca48a3d8d3413491468f582853dd5d5e270b18d43d,NOT_APPLICABLE,0,selectedPbest
3800,25000,0,36,PERSONAL_ARCHIVE,96c941b6ba7f73ce258fc6ca48a3d8d3413491468f582853dd5d5e270b18d43d,-1,NOT_APPLICABLE,0,insertedEntrySurvived
3800,25000,0,36,QP_ACTION,f9e279df5394a80c114ef5a91ac6c5b848994416b59600edca1b440d46dc6af1,66c4b441adb956d7fabc924dbc0a9ef4253de709ebae35994566910d153fd1f8,NOT_APPLICABLE,0,selection
3800,25000,0,36,QP_TEACHER,66c4b441adb956d7fabc924dbc0a9ef4253de709ebae35994566910d153fd1f8,f9e279df5394a80c114ef5a91ac6c5b848994416b59600edca1b440d46dc6af1,NOT_APPLICABLE,0,selectedPbest
3800,25000,0,36,PERSONAL_ARCHIVE,f9e279df5394a80c114ef5a91ac6c5b848994416b59600edca1b440d46dc6af1,-1,NOT_APPLICABLE,0,insertedEntrySurvived
3800,25000,0,36,QP_ACTION,f9e279df5394a80c114ef5a91ac6c5b848994416b59600edca1b440d46dc6af1,66c4b441adb956d7fabc924dbc0a9ef4253de709ebae35994566910d153fd1f8,NOT_APPLICABLE,0,selection
3800,25000,0,36,QP_TEACHER,66c4b441adb956d7fabc924dbc0a9ef4253de709ebae35994566910d153fd1f8,f9e279df5394a80c114ef5a91ac6c5b848994416b59600edca1b440d46dc6af1,NOT_APPLICABLE,0,selectedPbest
3800,25000,0,36,PERSONAL_ARCHIVE,f9e279df5394a80c114ef5a91ac6c5b848994416b59600edca1b440d46dc6af1,-1,NOT_APPLICABLE,0,insertedEntrySurvived
3800,25000,0,36,QP_ACTION,1921b800e449c86e5bcf9acb0a0383cb625bcf1097224471343551b80fa1da3d,66c4b441adb956d7fabc924dbc0a9ef4253de709ebae35994566910d153fd1f8,NOT_APPLICABLE,0,selection
3800,25000,0,36,QP_TEACHER,66c4b441adb956d7fabc924dbc0a9ef4253de709ebae35994566910d153fd1f8,1921b800e449c86e5bcf9acb0a0383cb625bcf1097224471343551b80fa1da3d,NOT_APPLICABLE,0,selectedPbest
3800,25000,0,36,PERSONAL_ARCHIVE,1921b800e449c86e5bcf9acb0a0383cb625bcf1097224471343551b80fa1da3d,-1,NOT_APPLICABLE,0,insertedEntrySurvived
3800,25000,0,36,QP_ACTION,1921b800e449c86e5bcf9acb0a0383cb625bcf1097224471343551b80fa1da3d,66c4b441adb956d7fabc924dbc0a9ef4253de709ebae35994566910d153fd1f8,NOT_APPLICABLE,0,selection
3800,25000,0,36,QP_TEACHER,66c4b441adb956d7fabc924dbc0a9ef4253de709ebae35994566910d153fd1f8,1921b800e449c86e5bcf9acb0a0383cb625bcf1097224471343551b80fa1da3d,NOT_APPLICABLE,0,selectedPbest
3800,25000,0,36,PERSONAL_ARCHIVE,1921b800e449c86e5bcf9acb0a0383cb625bcf1097224471343551b80fa1da3d,-1,NOT_APPLICABLE,0,insertedEntrySurvived
3800,25000,0,36,QP_ACTION,1a623ed3b6a13c73dc2d689c9dd06e3682335b4338b3e9a1c597d07141fa94d3,66c4b441adb956d7fabc924dbc0a9ef4253de709ebae35994566910d153fd1f8,NOT_APPLICABLE,0,selection
3800,25000,0,36,QP_TEACHER,66c4b441adb956d7fabc924dbc0a9ef4253de709ebae35994566910d153fd1f8,1a623ed3b6a13c73dc2d689c9dd06e3682335b4338b3e9a1c597d07141fa94d3,NOT_APPLICABLE,0,selectedPbest
3800,25000,0,36,PERSONAL_ARCHIVE,1a623ed3b6a13c73dc2d689c9dd06e3682335b4338b3e9a1c597d07141fa94d3,-1,NOT_APPLICABLE,0,insertedEntrySurvived
3800,25000,0,36,QP_ACTION,1a623ed3b6a13c73dc2d689c9dd06e3682335b4338b3e9a1c597d07141fa94d3,66c4b441adb956d7fabc924dbc0a9ef4253de709ebae35994566910d153fd1f8,NOT_APPLICABLE,0,selection
3800,25000,0,36,QP_TEACHER,66c4b441adb956d7fabc924dbc0a9ef4253de709ebae35994566910d153fd1f8,1a623ed3b6a13c73dc2d689c9dd06e3682335b4338b3e9a1c597d07141fa94d3,NOT_APPLICABLE,0,selectedPbest
3800,25000,0,36,PERSONAL_ARCHIVE,1a623ed3b6a13c73dc2d689c9dd06e3682335b4338b3e9a1c597d07141fa94d3,-1,NOT_APPLICABLE,0,insertedEntrySurvived
3800,25000,0,36,QP_ACTION,fd17e568201e6ef03579e9a35cee93167960eff1b02afb1298a63a69641d39a2,66c4b441adb956d7fabc924dbc0a9ef4253de709ebae35994566910d153fd1f8,NOT_APPLICABLE,0,selection
3800,25000,0,36,QP_TEACHER,66c4b441adb956d7fabc924dbc0a9ef4253de709ebae35994566910d153fd1f8,fd17e568201e6ef03579e9a35cee93167960eff1b02afb1298a63a69641d39a2,NOT_APPLICABLE,0,selectedPbest
3800,25000,0,36,PERSONAL_ARCHIVE,fd17e568201e6ef03579e9a35cee93167960eff1b02afb1298a63a69641d39a2,-1,NOT_APPLICABLE,0,insertedEntrySurvived
3800,25000,0,36,QP_ACTION,fd17e568201e6ef03579e9a35cee93167960eff1b02afb1298a63a69641d39a2,66c4b441adb956d7fabc924dbc0a9ef4253de709ebae35994566910d153fd1f8,NOT_APPLICABLE,0,selection
3800,25000,0,36,QP_TEACHER,66c4b441adb956d7fabc924dbc0a9ef4253de709ebae35994566910d153fd1f8,fd17e568201e6ef03579e9a35cee93167960eff1b02afb1298a63a69641d39a2,NOT_APPLICABLE,0,selectedPbest
3800,25000,0,36,PERSONAL_ARCHIVE,fd17e568201e6ef03579e9a35cee93167960eff1b02afb1298a63a69641d39a2,-1,NOT_APPLICABLE,0,insertedEntrySurvived
3800,25000,0,36,QP_ACTION,cf2218b1e9f7b26c9bde77a589a909cd8fd84093dd149a7da722d8555f1cc846,66c4b441adb956d7fabc924dbc0a9ef4253de709ebae35994566910d153fd1f8,NOT_APPLICABLE,0,selection
3800,25000,0,36,QP_TEACHER,66c4b441adb956d7fabc924dbc0a9ef4253de709ebae35994566910d153fd1f8,cf2218b1e9f7b26c9bde77a589a909cd8fd84093dd149a7da722d8555f1cc846,NOT_APPLICABLE,0,selectedPbest
3800,25000,0,36,PERSONAL_ARCHIVE,cf2218b1e9f7b26c9bde77a589a909cd8fd84093dd149a7da722d8555f1cc846,-1,NOT_APPLICABLE,0,insertedEntrySurvived
3800,25000,0,36,QP_ACTION,cf2218b1e9f7b26c9bde77a589a909cd8fd84093dd149a7da722d8555f1cc846,66c4b441adb956d7fabc924dbc0a9ef4253de709ebae35994566910d153fd1f8,NOT_APPLICABLE,0,selection
3800,25000,0,36,QP_TEACHER,66c4b441adb956d7fabc924dbc0a9ef4253de709ebae35994566910d153fd1f8,cf2218b1e9f7b26c9bde77a589a909cd8fd84093dd149a7da722d8555f1cc846,NOT_APPLICABLE,0,selectedPbest
3800,25000,0,36,PERSONAL_ARCHIVE,cf2218b1e9f7b26c9bde77a589a909cd8fd84093dd149a7da722d8555f1cc846,-1,NOT_APPLICABLE,0,insertedEntrySurvived
3800,25000,0,36,QP_ACTION,190f04afd5a13708f7b994d867a46c73aa0cc8308579c7b8ec3d377acea20b0a,190f04afd5a13708f7b994d867a46c73aa0cc8308579c7b8ec3d377acea20b0a,NOT_APPLICABLE,0,selection
3800,25000,0,36,QP_TEACHER,190f04afd5a13708f7b994d867a46c73aa0cc8308579c7b8ec3d377acea20b0a,190f04afd5a13708f7b994d867a46c73aa0cc8308579c7b8ec3d377acea20b0a,NOT_APPLICABLE,0,selectedPbest
3800,25000,0,36,PERSONAL_ARCHIVE,190f04afd5a13708f7b994d867a46c73aa0cc8308579c7b8ec3d377acea20b0a,-1,NOT_APPLICABLE,0,insertedEntrySurvived
3800,25000,0,36,QP_ACTION,190f04afd5a13708f7b994d867a46c73aa0cc8308579c7b8ec3d377acea20b0a,190f04afd5a13708f7b994d867a46c73aa0cc8308579c7b8ec3d377acea20b0a,NOT_APPLICABLE,0,selection
3800,25000,0,36,QP_TEACHER,190f04afd5a13708f7b994d867a46c73aa0cc8308579c7b8ec3d377acea20b0a,190f04afd5a13708f7b994d867a46c73aa0cc8308579c7b8ec3d377acea20b0a,NOT_APPLICABLE,0,selectedPbest
3800,25000,0,36,PERSONAL_ARCHIVE,190f04afd5a13708f7b994d867a46c73aa0cc8308579c7b8ec3d377acea20b0a,-1,NOT_APPLICABLE,0,insertedEntrySurvived
3800,25000,0,36,QP_ACTION,c0b9758075c08f80a88c025e6cc5d0d25b798fa9e6c4d00c0415a8395529169f,66c4b441adb956d7fabc924dbc0a9ef4253de709ebae35994566910d153fd1f8,NOT_APPLICABLE,0,selection
3800,25000,0,36,QP_TEACHER,66c4b441adb956d7fabc924dbc0a9ef4253de709ebae35994566910d153fd1f8,c0b9758075c08f80a88c025e6cc5d0d25b798fa9e6c4d00c0415a8395529169f,NOT_APPLICABLE,0,selectedPbest
3800,25000,0,36,PERSONAL_ARCHIVE,c0b9758075c08f80a88c025e6cc5d0d25b798fa9e6c4d00c0415a8395529169f,-1,NOT_APPLICABLE,0,insertedEntrySurvived
3800,25000,0,36,QP_ACTION,c0b9758075c08f80a88c025e6cc5d0d25b798fa9e6c4d00c0415a8395529169f,66c4b441adb956d7fabc924dbc0a9ef4253de709ebae35994566910d153fd1f8,NOT_APPLICABLE,0,selection
3800,25000,0,36,QP_TEACHER,66c4b441adb956d7fabc924dbc0a9ef4253de709ebae35994566910d153fd1f8,c0b9758075c08f80a88c025e6cc5d0d25b798fa9e6c4d00c0415a8395529169f,NOT_APPLICABLE,0,selectedPbest
3800,25000,0,36,PERSONAL_ARCHIVE,c0b9758075c08f80a88c025e6cc5d0d25b798fa9e6c4d00c0415a8395529169f,-1,NOT_APPLICABLE,0,insertedEntrySurvived
3800,25000,0,36,QP_ACTION,ba5ecf0effb08786bf9b2b786da91e8830ae5030bcaec6dc10b730688941e7d6,66c4b441adb956d7fabc924dbc0a9ef4253de709ebae35994566910d153fd1f8,NOT_APPLICABLE,0,selection
3800,25000,0,36,QP_TEACHER,66c4b441adb956d7fabc924dbc0a9ef4253de709ebae35994566910d153fd1f8,ba5ecf0effb08786bf9b2b786da91e8830ae5030bcaec6dc10b730688941e7d6,NOT_APPLICABLE,0,selectedPbest
3800,25000,0,36,PERSONAL_ARCHIVE,ba5ecf0effb08786bf9b2b786da91e8830ae5030bcaec6dc10b730688941e7d6,-1,NOT_APPLICABLE,0,insertedEntrySurvived
3800,25000,0,36,QP_ACTION,ba5ecf0effb08786bf9b2b786da91e8830ae5030bcaec6dc10b730688941e7d6,66c4b441adb956d7fabc924dbc0a9ef4253de709ebae35994566910d153fd1f8,NOT_APPLICABLE,0,selection
3800,25000,0,36,QP_TEACHER,66c4b441adb956d7fabc924dbc0a9ef4253de709ebae35994566910d153fd1f8,ba5ecf0effb08786bf9b2b786da91e8830ae5030bcaec6dc10b730688941e7d6,NOT_APPLICABLE,0,selectedPbest
3800,25000,0,36,PERSONAL_ARCHIVE,ba5ecf0effb08786bf9b2b786da91e8830ae5030bcaec6dc10b730688941e7d6,-1,NOT_APPLICABLE,0,insertedEntrySurvived
3800,25000,0,36,QP_ACTION,24b74dacb307aac8d99fc5cf3d2fd04544f63661bdb9e3470869ed8046c1eccb,e9c37bfc8920ee17a3b17c432a46cff3b9664d185ba8c6686fed6bfa7af3bab9,NOT_APPLICABLE,0,selection
3800,25000,0,36,QP_TEACHER,e9c37bfc8920ee17a3b17c432a46cff3b9664d185ba8c6686fed6bfa7af3bab9,24b74dacb307aac8d99fc5cf3d2fd04544f63661bdb9e3470869ed8046c1eccb,NOT_APPLICABLE,0,selectedPbest
3800,25000,0,36,PERSONAL_ARCHIVE,24b74dacb307aac8d99fc5cf3d2fd04544f63661bdb9e3470869ed8046c1eccb,-1,NOT_APPLICABLE,0,insertedEntrySurvived
3800,25000,0,36,QP_ACTION,24b74dacb307aac8d99fc5cf3d2fd04544f63661bdb9e3470869ed8046c1eccb,e9c37bfc8920ee17a3b17c432a46cff3b9664d185ba8c6686fed6bfa7af3bab9,NOT_APPLICABLE,0,selection
3800,25000,0,36,QP_TEACHER,e9c37bfc8920ee17a3b17c432a46cff3b9664d185ba8c6686fed6bfa7af3bab9,24b74dacb307aac8d99fc5cf3d2fd04544f63661bdb9e3470869ed8046c1eccb,NOT_APPLICABLE,0,selectedPbest
3800,25000,0,36,PERSONAL_ARCHIVE,24b74dacb307aac8d99fc5cf3d2fd04544f63661bdb9e3470869ed8046c1eccb,-1,NOT_APPLICABLE,0,insertedEntrySurvived
3800,25000,0,36,QP_ACTION,a4a92e29349eb300606a1350ce37fb62d7c9eb2fb4d2344bb3453f710d4650e8,e9c37bfc8920ee17a3b17c432a46cff3b9664d185ba8c6686fed6bfa7af3bab9,NOT_APPLICABLE,0,selection
3800,25000,0,36,QP_TEACHER,e9c37bfc8920ee17a3b17c432a46cff3b9664d185ba8c6686fed6bfa7af3bab9,a4a92e29349eb300606a1350ce37fb62d7c9eb2fb4d2344bb3453f710d4650e8,NOT_APPLICABLE,0,selectedPbest
3800,25000,0,36,PERSONAL_ARCHIVE,a4a92e29349eb300606a1350ce37fb62d7c9eb2fb4d2344bb3453f710d4650e8,-1,NOT_APPLICABLE,0,insertedEntrySurvived
3800,25000,0,36,QP_ACTION,a4a92e29349eb300606a1350ce37fb62d7c9eb2fb4d2344bb3453f710d4650e8,e9c37bfc8920ee17a3b17c432a46cff3b9664d185ba8c6686fed6bfa7af3bab9,NOT_APPLICABLE,0,selection
