tag,instance,arm,seed,budget,fullEvaluations,frontSize,HV,IGD,SP,minCmax,minTEC,minTWC,outerCycles,localFraction,localFE,qgTdUpdates,qpTransitions,caTaLiteTest,caTaLiteApply,cfvfOffspring,fm3Previews,proxyPreviews,runNanos,runSeconds
fc2-500k-remote,100_2_3_1,legacy,20260823,500000,500000,202,0.530403,0.25491,637.061518,712.89,46255.8,92249.59,16,0.833866,416933,1800,35000,1715,1252,80000,3174,0,298224315230,298.22431523
fc2-500k-remote,100_2_3_1,legacy,20260824,500000,500000,367,0.825912,0.176157,148.20391,803.66,46550.5,91091.67,17,0.82392,411960,1900,37500,1551,1389,85000,3396,0,763932913626,763.932913626
fc2-500k-remote,100_2_3_1,pacing,20260822,500000,500000,357,0.626238,0.188319,168.750794,720.76,49235.47,90720.73,62,0.357504,178752,6960,136000,6199,4949,310000,12344,0,3207552751762,3207.552751762
fc2-500k-remote,100_2_3_1,pacing,20260823,500000,500000,362,0.797467,0.110023,177.663567,737.6,47925.59,88119.08,62,0.357556,178778,6960,136000,6167,4955,310000,12341,0,3519149158127,3519.149158127
fc2-500k-remote,100_2_3_1,pacing,20260824,500000,500000,513,0.673967,0.153558,235.824403,689.34,48134.04,87333.28,62,0.357378,178689,6960,136000,6295,4916,310000,12250,0,5289904393281,5289.904393281
fc3-ab-legacy,20_2_3_1,cheap,20260822,50000,50000,80,0.91343,0.096342,120.847496,192.52,8698.83,12918.33,2,0.7907,39535,296,2600,216,149,10000,378,0,8952282592,8.952282592
fc3-ab-legacy,20_2_3_1,cheap,20260823,50000,50000,131,0.919648,0.057509,122.03052,203.51,8634.95,12805.72,2,0.79054,39527,296,2600,225,148,10000,368,0,10087140720,10.08714072
fc3-ab-legacy,20_2_3_1,cheap,20260824,50000,50000,121,0.96519,0.050196,134.965891,205.05,8611.85,12585.65,2,0.789,39450,296,2600,325,125,10000,347,0,13000926849,13.000926849
fc3-ab-legacy,20_2_3_1,standard,20260822,50000,50000,96,0.853104,0.098626,206.218008,200.72,8782.72,12918.33,2,0.78926,39463,296,2600,302,135,10000,376,0,8968590100,8.9685901
fc3-ab-legacy,20_2_3_1,standard,20260823,50000,50000,142,0.922329,0.055207,148.973418,195.46,8722.61,12805.72,2,0.78916,39458,296,2600,308,134,10000,369,0,11077223633,11.077223633
fc3-ab-legacy,20_2_3_1,standard,20260824,50000,50000,146,0.986274,0.047013,119.133693,196.4,8553.9,12583.15,2,0.78832,39416,296,2600,363,121,10000,351,0,10313561953,10.313561953
fc3-pacing-base,20_2_3_1,base,20260822,50000,48269,224,0.857323,0.061642,131.453746,190.01,8602.65,12766.23,6,0.35142638132134496,16963,696,12600,768,438,30000,1155,0,38883741759,38.883741759
fc3-pacing-base,20_2_3_1,base,20260823,50000,48269,211,0.882413,0.056295,76.970372,195.05,8662.03,12695.11,6,0.3442996540222503,16619,696,12600,1216,334,30000,1047,0,43642449012,43.642449012
fc3-pacing-base,20_2_3_1,base,20260824,50000,48269,205,0.906679,0.053801,107.587517,180.86,8476.07,12548.63,6,0.3475936936750295,16778,696,12600,1010,381,30000,1085,0,42011564595,42.011564595
fc3-pacing-base,20_2_3_1,cheap,20260822,50000,48269,152,0.823655,0.075367,88.701401,206.06,8692.99,12733.41,6,0.352855870227268,17032,696,12600,695,442,30000,1107,0,35214855585,35.214855585
fc3-pacing-base,20_2_3_1,cheap,20260823,50000,48269,181,0.840236,0.06954,91.100516,195.6,8665.14,12772.46,6,0.3533116492987217,17054,696,12600,666,449,30000,1099,0,39275401412,39.275401412
fc3-pacing-base,20_2_3_1,cheap,20260824,50000,48269,179,0.892731,0.049612,98.739388,185.81,8529.74,12804.92,6,0.3491474859640763,16853,696,12600,925,391,30000,1038,0,38501552918,38.501552918
fc4-rho,20_2_3_1,rho0.1,20260822,500000,500000,587,0.907337,0.053619,54.754092,181.1,8332.67,12585.68,62,0.353866,176933,12400,236824,8591,4376,310000,11713,0,2183474684747,2183.474684747
fc4-rho,20_2_3_1,rho0.1,20260823,500000,500000,804,0.9631,0.025308,51.291434,173.66,8352.95,12432.64,62,0.351034,175517,12400,234710,10450,3933,310000,11174,0,2403973531895,2403.973531895
fc4-rho,20_2_3_1,rho0.1,20260824,500000,500000,593,0.903976,0.059259,68.539641,195.7,8328.94,12385.09,62,0.353146,176573,12400,236424,9065,4262,310000,11623,0,2201353843282,2201.353843282
fc4-rho,20_2_3_1,rho0.2,20260822,500000,500000,674,0.923715,0.045822,47.015108,173.52,8322.58,12556.55,62,0.353584,176792,12400,237301,8779,4329,310000,11654,0,2317502581905,2317.502581905
fc4-rho,20_2_3_1,rho0.2,20260823,500000,500000,560,0.946745,0.034304,67.196924,175.41,8368.36,12476.56,62,0.34994,174970,12400,239270,11174,3756,310000,10874,0,1797278654608,1797.278654608
fc4-rho,20_2_3_1,rho0.2,20260824,500000,500000,564,0.888982,0.066655,68.214947,193.68,8360.41,12387.38,62,0.354152,177076,12400,233695,8409,4415,310000,11744,0,2327629898378,2327.629898378
fc4-rho,20_2_3_1,rho0.3,20260822,500000,500000,673,0.919114,0.04599,51.226,172.11,8338.92,12580.96,62,0.355068,177534,12400,238130,7801,4565,310000,11955,0,2439616761352,2439.616761352
fc4-rho,20_2_3_1,rho0.3,20260823,500000,500000,700,0.942963,0.032421,53.618399,177.49,8336.97,12510.44,62,0.35016,175080,12400,237879,11024,3796,310000,10932,0,2180408105726,2180.408105726
fc4-rho,20_2_3_1,rho0.3,20260824,500000,500000,590,0.895552,0.060561,68.366754,187.44,8350.81,12389.14,62,0.353926,176963,12400,240623,8553,4384,310000,11751,0,2206425912395,2206.425912395
fc4-rho,100_2_3_1,rho0.1,20260822,500000,500000,603,0.40174,0.230821,148.422401,732.42,47998.19,89718.03,62,0.356776,178388,12400,245183,6677,4835,310000,12139,0,5684562016977,5684.562016977
fc4-rho,100_2_3_1,rho0.1,20260823,500000,500000,347,0.748749,0.060787,253.044322,721.05,47780.11,85032.37,62,0.356862,178431,12400,240061,6612,4857,310000,12276,0,3335829735256,3335.829735256
fc4-rho,100_2_3_1,rho0.1,20260824,500000,500000,442,0.46453,0.168301,247.414345,686.38,48398.64,85967.82,62,0.358488,179244,12400,244311,5575,5081,310000,12380,0,4433214088309,4433.214088309
fc4-rho,100_2_3_1,rho0.2,20260822,500000,500000,314,0.349778,0.270404,189.828276,731.53,48545.74,92956.79,62,0.357428,178714,12400,246333,6240,4946,310000,12369,0,3198950719779,3198.950719779
fc4-rho,100_2_3_1,rho0.2,20260823,500000,500000,494,0.651722,0.088264,274.590434,717.27,47097.84,87870.64,62,0.35749,178745,12400,247582,6200,4955,310000,12375,0,4537385468274,4537.385468274
fc4-rho,100_2_3_1,rho0.2,20260824,500000,500000,297,0.461748,0.171821,200.641383,683.6,48089.52,86282.96,62,0.357948,178974,12400,248103,5925,5001,310000,12330,0,2461866124007,2461.866124007
fc4-rho,100_2_3_1,rho0.3,20260822,500000,500000,290,0.407751,0.238798,189.388978,739.97,48699.56,91911.93,62,0.357656,178828,12400,243757,6094,4978,310000,12384,0,3707476570269,3707.476570269
fc4-rho,100_2_3_1,rho0.3,20260823,500000,500000,391,0.707756,0.073604,235.272512,724.99,47730.74,85999.99,62,0.357006,178503,12400,243375,6521,4876,310000,12279,0,3109242818299,3109.242818299
fc4-rho,100_2_3_1,rho0.3,20260824,500000,500000,499,0.539331,0.141275,193.493623,694.42,48165.16,84943.07,62,0.358068,179034,12400,244115,5837,5029,310000,12382,0,3432248501265,3432.248501265
